,instrument,genre,activeYearsStart,activeYearsEnd
Ahmed_Abdul_Malik,"Oud,Double_bass",Jazz,1950,1960
Benny_Golson,Tenor_saxophone,"Jazz,Bebop,Hard_bop",,
Joe_Henderson,Saxophone ,"Jazz   ,jazz fusion ,soul jazz ",1955,1955
Arturo_Sandoval,"Piano,Trumpet,Timbales","Jazz,Latin_jazz,Afro_Cubans",1977,2022
Joe_Morris_(trumpeter),Trumpet ,"Jazz,Rhythm_and_blues",1942,1958
Kenny_Garrett,,"Post_bop,Jazz,Jazz_fusion",1978,2022
Frank_Lloyd_(horn_player),Horn ,,,
Esperanza_Spalding,",Double bass ,guitar ,vocals ,bass guitar ","Bossa_nova,Jazz,Jazz_fusion,Neo_soul,Contemporary_R&B  ",2000,2022
Art_Blakey,"Drums   ,percussion ","Jazz,Bebop,Hard_bop  ",1942,1990
Sting_(musician),,,1971,2022
Karriem_Riggins,"Bass_guitar,Drum_kit,Percussion_instrument,Phonograph,Keyboard_instrument,Akai_MPC  ","Jazz,Hip_hop_music  ",1990,1990
Charlie_Barnet,Saxophone ,"Swing_music,Big_band",1932,1967
Wayne_Shorter,"Soprano_saxophone,Tenor_saxophone","Post_bop,Modal_jazz,Third_stream,Hard_bop,Jazz_fusion,Crossover_jazz",1958,2021
Shannon_Powell,Drums ,"Dixieland,Jazz",1970,2022
Mulgrew_Miller,Piano ,Jazz ,1970,2013
Frank_McComb,"Piano, vocals ","R&B, gospel, soul ",1990,2022
Clifford_Brown,Trumpet ,Jazz,1949,1956
Veronica_Swift,,"Jazz,Bebop  ",2004,2022
Buster_Williams,Double bass ,"Jazz, jazz fusion ",1959,2022
Elvin_Jones,"Drums   ,percussion ","Avant_garde_jazz,Post_bop,Modal_jazz,Hard_bop  ",1948,2004
Maynard_Ferguson,"Baritone_horn,Flugelhorn,French_horn,Firebird_(trumpet),Superbone,Types_of_trombone  ,Trumpet ,soprano saxophone ,trombone ","Jazz  ,pop ,jazz fusion ,jazz rock ",1939,1939
Lionel_Hampton,"Vibraphone  ,percussion ,piano ","Swing_music,Blues,Big_band,Mainstream_jazz  ",1927,2002
Count_Basie,"Organ_(music),Piano   ","Swing_music,Blues,Jazz,Big_band  ",1924,1984
Lenny_Kravitz,,,1981,2022
Victor_Goines,"Saxophone, clarinet ","Avant_garde_jazz,Dixieland,Jazz,Big_band",1980,2022
Eric_Clapton,,,1962,2022
Dianne_Reeves,Vocals ,Jazz,1976,2022
Terri_Lyne_Carrington,Drums ,"Jazz,Rhythm_and_blues",1983,2022
Alexa_Tarantino,"Clarinet,Flute,Saxophone,Woodwind_instrument",Jazz,,
Charlie_Haden,Double_bass,"Free jazz   ,hard bop ,folk jazz ,mainstream jazz ,post_bop ",1957,2014
Larry_Willis,Piano ,"Avant_garde_jazz,Post_bop,Afro_Cuban_jazz,Jazz,Bebop,Jazz_fusion",1965,2019
Gary_Numan,",Vocals ,guitar ,keyboards ","Synth_pop,Electronica,New_wave_music,Industrial_rock,Electronic_rock  ",1977,2022
Lee_Morgan,"Trumpet, flugelhorn ","Jazz,Bebop,Hard_bop",1956,1972
Kevin_Eubanks,Guitar ,"Jazz, rock ",1982,2022
Horace_Silver,Piano ,"Soul_jazz,Jazz,Hard_bop,Jazz_fusion,Mainstream_jazz",1946,2004
The_Clayton_Brothers,,Jazz,1977,2022
Gary_Moore,"Guitar, vocals, bass, keyboards ","Blues   ,hard rock ,heavy metal ,jazz fusion ",1968,2011
Buddy_Guy,"Singing,Guitar","Blues_rock,Chicago_blues,Electric_blues,Blues",1953,2022
Jackson_Browne,,"Country_rock,Folk_rock,Rock_music,Soft_rock  ",1966,2022
Willie_Nelson,,,1956,2022
Ray_Charles,,,1947,2004
Randy_Sandke,"Trumpet, guitar ",Jazz,1968,2022
Ray_Mantilla,Drums ,"Jazz,Latin_jazz",1950,2020
Rodney_Whitaker,"Bass_guitar,Double_bass",Jazz,,
Jack_DeJohnette,"Drums, piano, percussion, melodica ","New_age_music,Jazz,Jazz_fusion",1961,2022
Duke_Ellington,Piano ,"Swing_music,Jazz  ",1914,1974
Winard_Harper,Drums ,Jazz ,1980,2022
Charles_Mingus,"Double bass, piano, cello, percussion ","Free_jazz,Avant_garde_jazz,Post_bop,Jazz,Bebop,Third_stream,Hard_bop,Orchestral_jazz",1943,1979
Kenny_Kirkland,"Piano, keyboards ","20th_century_classical_music,Neo_bop_jazz,Big_band,Jazz_fusion",1973,1998
Terence_Blanchard,"Trumpet, keyboards ",Jazz,1982,2022
