"","abstract","yearsActive","genre","recordLabel","instrument","occupation","yearsActive_first"
"Ahmed_Abdul_Malik","Ahmed Abdul_Malik (born Jonathan Tim, Jr.; January 30, 1927 ??October 2, 1993) was an American jazz double bassist and oud player. Abdul_Malik is remembered for integrating Middle Eastern and North African music styles in his jazz music. He was a bass player for Art Blakey, Earl Hines, Randy Weston, and Thelonious Monk, among others. ","","Jazz","Prestige_Records","Oud,Double_bass","Musician ",
"Benny_Golson","Benny Golson (born January 25, 1929) is an American bebop/hard bop jazz tenor saxophonist, composer, and arranger. He came to prominence with the big bands of Lionel Hampton and Dizzy Gillespie, more as a writer than a performer, before launching his solo career. Golson is known for co_founding and co_leading The Jazztet with trumpeter Art Farmer in 1959. From the late 1960s through the 1970s Golson was in demand as an arranger for film and television and thus was less active as a performer, but he and Farmer re_formed the Jazztet in 1982. In addition to ""I Remember Clifford"", many of Golson's compositions have become jazz standards including ""Blues March"", ""Whisper Not"", and ""Killer Joe"". ","","Jazz,Bebop,Hard_bop","","Tenor_saxophone","Musician, composer, arranger ",
"Joe_Henderson","Joe Henderson (April 24, 1937 ??June 30, 2001) was an American jazz tenor saxophonist. In a career spanning more than four decades, Henderson played with many of the leading American players of his day and recorded for several prominent labels, including Blue Note, Milestone, and Verve. ","1955","Jazz   ,jazz fusion ,soul jazz ","Verve_Records,Milestone_Records,Blue_Note_Records","Saxophone ","Musician ",1955
"Arturo_Sandoval","Arturo Sandoval is a Cuban_American jazz trumpeter, pianist, and composer. While living in his native Cuba, Sandoval was influenced by jazz musicians Charlie Parker, Clifford Brown, and Dizzy Gillespie. In 1977 he met Gillespie, who became his friend and mentor and helped him defect from Cuba while on tour with the United Nations Orchestra. Sandoval became an American naturalized citizen in 1998. His life was the subject of the film For Love or Country: The Arturo Sandoval Story (2000) starring Andy García. Sandoval has won Grammy Awards, Billboard Awards and one Emmy Award. He performed at the White House and at the Super Bowl (1995) ","1977","Jazz,Latin_jazz,Afro_Cubans","","Piano,Trumpet,Timbales","Musician ",1977
"Joe_Morris_(trumpeter)","Joseph Lee Morris (March 2, 1922 ??November 7, 1958) was an American jazz and rhythm and blues trumpeter. ","1942","Jazz,Rhythm_and_blues","","Trumpet ","Musician ",1942
"Kenny_Garrett","Kenny Garrett (born October 9, 1960) is an American post_bop jazz saxophonist and flautist who gained recognition in his youth as a member of the Duke Ellington Orchestra and of Miles Davis's band. Since then, he has pursued a solo career. ","1978","Post_bop,Jazz,Jazz_fusion","Atlantic_Records,Warner_Records,Criss_Cross_Jazz,Mack_Avenue_Records","","",1978
"Frank_Lloyd_(horn_player)","Frank Lloyd FRAM (1952 _ ) is an English virtuoso horn player and teacher, Professor of Horn at the Folkwang Hochschule in Essen, Germany and formerly professor of horn at both the Guildhall School of Music and Drama and Trinity College of Music in London. ","","","","Horn ",",Professor of Horn at ",
"Esperanza_Spalding","Esperanza Emily Spalding (born October 18, 1984) is an American jazz bassist, singer, songwriter, and composer. Her accolades include four Grammy Awards, a Boston Music Award, and a Soul Train Music Award. A native of Portland, Oregon, Spalding began playing music professionally in her childhood, performing as a violinist in the Chamber Music Society of Oregon at age five. She was later both self_taught and trained on a number of instruments, including guitar and bass. Her proficiency earned her academic scholarships to Portland State University and the Berklee College of Music, both of which she attended, studying music. Spalding released her first album, Junjo, in 2006 on the Spanish label Ayva Musica, after which she signed with the independent American label Heads Up, who released her 2007 self_titled album. Her third studio album, Chamber Music Society (2010), was a commercial success, charting at number 34 on the Billboard 200, and resulting in Spalding winning her first Grammy Award for Best New Artist; Spalding was the first jazz artist to win in this category. She saw further acclaim for her fourth release, Radio Music Society (2012), which earned the Grammy for Best Jazz Vocal Album, as well as the track ""City of Roses"" winning for Best Arrangement, Instrument and Vocals. After spending the following several years performing as a supporting band player, Spalding released her fifth studio album, a funk rock_inspired concept album titled Emily's D+Evolution, co_produced by Tony Visconti, on Concord Records. The following year, she released the album Exposure, which was limited to 7,777 copies. Her subsequent sixth studio record, 12 Little Spells, was released in 2019, and peaked at number one on Billboard's Top Jazz Albums. The album also saw Spalding nominated for two Grammy Awards, winning in the Best Jazz Vocal Album category. In addition to writing and performing music, Spalding has also worked as an instructor, first at the Berklee College of Music, beginning at age 20. In 2017, Spalding was appointed professor of the Practice of Music at Harvard University. In 2018, Spalding received an honorary doctorate of music from her alma mater, Berklee College of Music, and served as commencement speaker at the ceremony. ","2000","Bossa_nova,Jazz,Jazz_fusion,Neo_soul,Contemporary_R&B  ","Concord_Records,Heads_Up_International",",Double bass ,guitar ,vocals ,bass guitar ","Musician   ,bandleader ,composer ,educator ",2000
"Art_Blakey","Arthur Blakey (October 11, 1919 ??October 16, 1990) was an American jazz drummer and bandleader. He was briefly known as Abdullah Ibn Buhaina after he converted to Islam for a short time in the late 1940s. Blakey made a name for himself in the 1940s in the big bands of Fletcher Henderson and Billy Eckstine. He then worked with bebop musicians Thelonious Monk, Charlie Parker, and Dizzy Gillespie. In the mid_1950s, Horace Silver and Blakey formed the Jazz Messengers, a group that the drummer was associated with for the next 35 years. The group was formed as a collective of contemporaries, but over the years the band became known as an incubator for young talent, including Freddie Hubbard, Wayne Shorter, Lee Morgan, Benny Golson, Kenny Dorham, Hank Mobley, Donald Byrd, Jackie McLean, Johnny Griffin, Curtis Fuller, Chuck Mangione, Chick Corea, Keith Jarrett, Cedar Walton, Woody Shaw, Terence Blanchard, and Wynton Marsalis. The Biographical Encyclopedia of Jazz calls the Jazz Messengers ""the archetypal hard bop group of the late 50s"". Blakey was inducted into the Down Beat Jazz Hall of Fame (in 1981), the Grammy Hall of Fame (in 1998 and 2001), and was awarded the Grammy Lifetime Achievement Award in 2005. He was inducted into the Modern Drummer Hall of Fame in 1991. ","1942","Jazz,Bebop,Hard_bop  ","Blue_Note_Records","Drums   ,percussion ","Musician   ,bandleader ",1942
"Sting_(musician)","Gordon Matthew Thomas Sumner CBE (born 2 October 1951), known as Sting, is an English musician, singer, songwriter and actor. He was the frontman, songwriter and bassist for new wave rock band the Police from 1977 to 1986. He launched a solo career in 1985 and has included elements of rock, jazz, reggae, classical, new_age and worldbeat in his music. As a solo musician and a member of the Police, Sting has received 17 Grammy Awards: he won Song of the Year for ""Every Breath You Take"", three Brit Awards, including Best British Male Artist in 1994 and Outstanding Contribution in 2002, a Golden Globe, an Emmy and four nominations for the Academy Award for Best Original Song. In 2019, he received a BMI Award for ""Every Breath You Take"" becoming the most_played song in radio history. In 2002, Sting received the Ivor Novello Award for Lifetime Achievement from the British Academy of Songwriters, Composers and Authors and was also inducted into the Songwriters Hall of Fame. He was inducted into the Rock and Roll Hall of Fame as a member of the Police in 2003. In 2000, he received a star on the Hollywood Walk of Fame for recording. In 2003, Sting received a CBE from Elizabeth II at Buckingham Palace for services to music. He was made a Kennedy Center Honoree at the White House in 2014 and was awarded the Polar Music Prize in 2017. With the Police, Sting became one of the world's best_selling music artists. Solo and with the Police combined, he has sold over 100 million records. In 2006, Paste ranked him 62nd of the 100 best living songwriters. He was 63rd of VH1's 100 greatest artists of rock, and 80th of Q magazine's 100 greatest musical stars of the 20th century. He has collaborated with other musicians on songs such as ""Money for Nothing"" with Dire Straits, ""Rise & Fall"" with Craig David, ""All for Love"" with Bryan Adams and Rod Stewart, ""You Will Be My Ain True Love"" with Alison Krauss, and introduced the North African music genre raï to Western audiences through the hit song ""Desert Rose"" with Cheb Mami. In 2018, he released the album 44/876, a collaboration with Jamaican musician Shaggy, which won the Grammy Award for Best Reggae Album in 2019. ","1971","","","","Musician   ,actor ,singer ,songwriter ",1971
