"","c","m","y","r","g","b","hex"
"Ahmed_Abdul-Malik",1,0,0,0,1,1,"#00FFFF"
"Benny_Golson",0,1,0,1,0,1,"#FF00FF"
"Joe_Henderson",0,1,0,1,0,1,"#FF00FF"
"Arturo_Sandoval",0,1,0,1,0,1,"#FF00FF"
"Joe_Morris_(trumpeter)",0,1,0,1,0,1,"#FF00FF"
"Kenny_Garrett",0,1,0,1,0,1,"#FF00FF"
"Frank_Lloyd_(horn_player)",0,1,0,1,0,1,"#FF00FF"
"Esperanza_Spalding",0.166666666666667,0.166666666666667,0.666666666666667,0.833333333333333,0.833333333333333,0.333333333333333,"#D5D555"
"Art_Blakey",1,0,0,0,1,1,"#00FFFF"
"Sting_(musician)",0.25,0.25,0.5,0.75,0.75,0.5,"#BFBF80"
"Karriem_Riggins",0.4,0,0.6,0.6,1,0.4,"#99FF66"
"Charlie_Barnet",0,1,0,1,0,1,"#FF00FF"
"Wayne_Shorter",0,1,0,1,0,1,"#FF00FF"
"Shannon_Powell",1,0,0,0,1,1,"#00FFFF"
"Mulgrew_Miller",0.2,0.6,0.2,0.8,0.4,0.8,"#CC66CC"
"Frank_McComb",0,0.25,0.75,1,0.75,0.25,"#FFBF40"
"Clifford_Brown",0,1,0,1,0,1,"#FF00FF"
"Veronica_Swift",0,0,1,1,1,0,"#FFFF00"
"Buster_Williams",0.25,0.25,0.5,0.75,0.75,0.5,"#BFBF80"
"Elvin_Jones",0.666666666666667,0.333333333333333,0,0.333333333333333,0.666666666666667,1,"#55AAFF"
"Maynard_Ferguson",0,1,0,1,0,1,"#FF00FF"
"Lionel_Hampton",0.5,0.5,0,0.5,0.5,1,"#8080FF"
"Count_Basie",0,0.714285714285714,0.285714285714286,1,0.285714285714286,0.714285714285714,"#FF49B6"
"Lenny_Kravitz",0,0,1,1,1,0,"#FFFF00"
"Victor_Goines",0,1,0,1,0,1,"#FF00FF"
"Eric_Clapton",0.333333333333333,0.166666666666667,0.5,0.666666666666667,0.833333333333333,0.5,"#AAD580"
"Dianne_Reeves",0,0,1,1,1,0,"#FFFF00"
"Terri_Lyne_Carrington",0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,"#AAAAAA"
"Alexa_Tarantino",0,1,0,1,0,1,"#FF00FF"
"Charlie_Haden",0.25,0.5,0.25,0.75,0.5,0.75,"#BF80BF"
"Larry_Willis",0.2,0.6,0.2,0.8,0.4,0.8,"#CC66CC"
"Gary_Numan",0,0.166666666666667,0.833333333333333,1,0.833333333333333,0.166666666666667,"#FFD52A"
"Lee_Morgan",0.25,0.75,0,0.75,0.25,1,"#BF40FF"
"Kevin_Eubanks",0,0.5,0.5,1,0.5,0.5,"#FF8080"
"Horace_Silver",0.333333333333333,0.666666666666667,0,0.666666666666667,0.333333333333333,1,"#AA55FF"
"The_Clayton_Brothers",0.4,0.6,0,0.6,0.4,1,"#9966FF"
"Gary_Moore",0.2,0,0.8,0.8,1,0.2,"#CCFF33"
"Buddy_Guy",0,0,1,1,1,0,"#FFFF00"
"Jackson_Browne",0,0,1,1,1,0,"#FFFF00"
