"","c","m","y","r","g","b","hex"
"Ahmed_Abdul-Malik",1,0,0,0,1,1,"#00FFFF"
"Benny_Golson",0,1,0,1,0,1,"#FF00FF"
"Joe_Henderson",0,1,0,1,0,1,"#FF00FF"
"Arturo_Sandoval",0,1,0,1,0,1,"#FF00FF"
"Joe_Morris_(trumpeter)",0,1,0,1,0,1,"#FF00FF"
"Kenny_Garrett",0,1,0,1,0,1,"#FF00FF"
"Frank_Lloyd_(horn_player)",0,1,0,1,0,1,"#FF00FF"
"Esperanza_Spalding",0.408248290463863,0.408248290463863,0.816496580927726,0.591751709536137,0.591751709536137,0.183503419072274,"#97972F"
"Art_Blakey",1,0,0,0,1,1,"#00FFFF"
"Sting_(musician)",0.5,0.5,0.707106781186548,0.5,0.5,0.292893218813452,"#80804B"
"Karriem_Riggins",0.632455532033676,0,0.774596669241483,0.367544467966324,1,0.225403330758517,"#5EFF39"
"Charlie_Barnet",0,1,0,1,0,1,"#FF00FF"
"Wayne_Shorter",0,1,0,1,0,1,"#FF00FF"
"Shannon_Powell",1,0,0,0,1,1,"#00FFFF"
"Mulgrew_Miller",0.447213595499958,0.774596669241483,0.447213595499958,0.552786404500042,0.225403330758517,0.552786404500042,"#8D398D"
"Frank_McComb",0,0.5,0.866025403784439,1,0.5,0.133974596215561,"#FF8022"
"Clifford_Brown",0,1,0,1,0,1,"#FF00FF"
"Veronica_Swift",0,0,1,1,1,0,"#FFFF00"
"Buster_Williams",0.5,0.5,0.707106781186548,0.5,0.5,0.292893218813452,"#80804B"
"Elvin_Jones",0.816496580927726,0.577350269189626,0,0.183503419072274,0.422649730810374,1,"#2F6CFF"
"Maynard_Ferguson",0,1,0,1,0,1,"#FF00FF"
"Lionel_Hampton",0.707106781186548,0.707106781186548,0,0.292893218813452,0.292893218813452,1,"#4B4BFF"
"Count_Basie",0,0.845154254728517,0.534522483824849,1,0.154845745271483,0.465477516175151,"#FF2777"
"Lenny_Kravitz",0,0,1,1,1,0,"#FFFF00"
"Victor_Goines",0,1,0,1,0,1,"#FF00FF"
"Eric_Clapton",0.577350269189626,0.408248290463863,0.707106781186548,0.422649730810374,0.591751709536137,0.292893218813452,"#6C974B"
"Dianne_Reeves",0,0,1,1,1,0,"#FFFF00"
"Terri_Lyne_Carrington",0.577350269189626,0.577350269189626,0.577350269189626,0.422649730810374,0.422649730810374,0.422649730810374,"#6C6C6C"
"Alexa_Tarantino",0,1,0,1,0,1,"#FF00FF"
"Charlie_Haden",0.5,0.707106781186548,0.5,0.5,0.292893218813452,0.5,"#804B80"
"Larry_Willis",0.447213595499958,0.774596669241483,0.447213595499958,0.552786404500042,0.225403330758517,0.552786404500042,"#8D398D"
"Gary_Numan",0,0.408248290463863,0.912870929175277,1,0.591751709536137,0.0871290708247231,"#FF9716"
"Lee_Morgan",0.5,0.866025403784439,0,0.5,0.133974596215561,1,"#8022FF"
"Kevin_Eubanks",0,0.707106781186548,0.707106781186548,1,0.292893218813452,0.292893218813452,"#FF4B4B"
"Horace_Silver",0.577350269189626,0.816496580927726,0,0.422649730810374,0.183503419072274,1,"#6C2FFF"
