"","V1","V2","V3","rgb(1 - M_ysa3class)"
"Ahmed_Abdul_Malik",1,0,1,"#FF00FF"
"Benny_Golson",1,1,1,"#FFFFFF"
"Joe_Henderson",1,0,1,"#FF00FF"
"Arturo_Sandoval",1,0,0,"#FF0000"
"Joe_Morris_(trumpeter)",1,0,1,"#FF00FF"
"Kenny_Garrett",1,0,0,"#FF0000"
"Frank_Lloyd_(horn_player)",1,1,1,"#FFFFFF"
"Esperanza_Spalding",1,1,0,"#FFFF00"
"Art_Blakey",1,0,0,"#FF0000"
"Sting_(musician)",1,0,0,"#FF0000"
"Karriem_Riggins",1,1,0,"#FFFF00"
"Charlie_Barnet",0,0,1,"#0000FF"
"Wayne_Shorter",1,0,0,"#FF0000"
"Shannon_Powell",1,0,0,"#FF0000"
"Mulgrew_Miller",1,0,0,"#FF0000"
"Frank_McComb",1,1,0,"#FFFF00"
"Clifford_Brown",1,0,1,"#FF00FF"
"Veronica_Swift",1,1,0,"#FFFF00"
"Buster_Williams",1,0,0,"#FF0000"
"Elvin_Jones",1,0,0,"#FF0000"
"Maynard_Ferguson",0,1,1,"#00FFFF"
"Lionel_Hampton",0,0,0,"#000000"
"Count_Basie",0,0,0,"#000000"
"Lenny_Kravitz",1,1,0,"#FFFF00"
"Victor_Goines",1,1,0,"#FFFF00"
"Eric_Clapton",1,0,0,"#FF0000"
"Dianne_Reeves",1,0,0,"#FF0000"
"Terri_Lyne_Carrington",1,1,0,"#FFFF00"
"Alexa_Tarantino",1,1,1,"#FFFFFF"
"Charlie_Haden",1,0,0,"#FF0000"
"Larry_Willis",1,0,0,"#FF0000"
"Gary_Numan",1,0,0,"#FF0000"
"Lee_Morgan",1,0,1,"#FF00FF"
"Kevin_Eubanks",1,1,0,"#FFFF00"
"Horace_Silver",1,0,0,"#FF0000"
"The_Clayton_Brothers",1,0,0,"#FF0000"
"Gary_Moore",1,0,0,"#FF0000"
"Buddy_Guy",1,0,0,"#FF0000"
"Jackson_Browne",1,0,0,"#FF0000"
"Willie_Nelson",1,0,0,"#FF0000"
"Ray_Charles",1,0,0,"#FF0000"
"Randy_Sandke",1,0,0,"#FF0000"
"Ray_Mantilla",1,0,0,"#FF0000"
"Rodney_Whitaker",1,1,1,"#FFFFFF"
"Jack_DeJohnette",1,0,0,"#FF0000"
"Duke_Ellington",0,0,1,"#0000FF"
"Winard_Harper",1,1,0,"#FFFF00"
"Charles_Mingus",1,0,1,"#FF00FF"
"Kenny_Kirkland",1,0,0,"#FF0000"
"Terence_Blanchard",1,1,0,"#FFFF00"
"Paul_Bley",1,1,1,"#FFFFFF"
"Jann_Arden",1,1,0,"#FFFF00"
"Richard_Johnson_(pianist)",1,1,0,"#FFFF00"
"Flora_Purim",1,0,0,"#FF0000"
"James_Morrison_(jazz_musician)",1,1,0,"#FFFF00"
"Keb'_Mo'",1,0,0,"#FF0000"
"Mousey_Alexander",1,0,0,"#FF0000"
"Benny_Green_(pianist)",1,1,1,"#FFFFFF"
"Natalie_Cressman",1,1,0,"#FFFF00"
"Al_Foster",1,0,0,"#FF0000"
"Tony_Williams_(drummer)",1,0,0,"#FF0000"
"Reggie_Workman",1,1,1,"#FFFFFF"
"Betty_Carter",1,0,0,"#FF0000"
"Saskia_Laroo",1,1,1,"#FFFFFF"
"Eric_Revis",1,1,0,"#FFFF00"
"Oliver_Jones_(pianist)",1,0,0,"#FF0000"
"Dee_Dee_Bridgewater",1,0,0,"#FF0000"
"Robert_M._Rucker",1,1,0,"#FFFF00"
"Nine_Inch_Nails",1,1,0,"#FFFF00"
"Germaine_Bazzle",1,1,1,"#FFFFFF"
"Bo_Stief",1,1,1,"#FFFFFF"
"Doug_Watkins",1,0,1,"#FF00FF"
"Jeff_Beck",1,0,0,"#FF0000"
"Jackie_McLean",1,0,0,"#FF0000"
"Bob_Cranshaw",1,1,1,"#FFFFFF"
"Woody_Herman",1,1,1,"#FFFFFF"
"Donald_Byrd",1,0,0,"#FF0000"
"Harry_Sokal_(musician)",1,0,0,"#FF0000"
"McCoy_Tyner",1,0,0,"#FF0000"
