"","x"
"1","jazz"
"2","rock"
"3","hard_bop"
"4","bebop"
"5","post_bop"
"6","jazz_fusion"
"7","avant_garde_jazz"
"8","blues"
"9","pop"
"10","soul"
"11","swing_music"
"12","classical_music"
"13","funk"
"14","rhythm_and_blues"
"15","soul_music"
"16","big_band"
"17","fusion"
"18","modal_jazz"
"19","soul_jazz"
"20","cool_jazz"
"21","free_jazz"
"22","hard"
"23","jazz_funk"
"24","mainstream_jazz"
"25","afro_cuban_jazz"
"26","contemporary_r"
"27","folk"
"28","latin_jazz"
"29","neo_soul"
"30","third_stream"
"31","world_music"
"32","blues_rock"
"33","bossa_nova"
"34","dixieland"
"35","electric_blues"
"36","industrial"
"37","latin"
"38","reggae"
"39","rock_music"
"40","alternative"
"41","blue_eyed_soul"
"42","bop"
"43","classical"
"44","free_improvisation"
"45","gospel_music"
"46","hip_hop_music"
"47","jazz_performance_style"
"48","metal"
"49","music"
"50","new_age_music"
"51","new_wave_music"
"52","pop_music"
"53","rock_and_roll"
"54","swing_"
"55","west_coast_jazz"
"56","afro_cuban"
"57","americana"
"58","avant_garde"
"59","country"
"60","electronic"
"61","free"
"62","gospel"
"63","hip_hop"
"64","instrumental"
"65","mainstream"
"66","progressive"
"67","rhythm"
"68","soft"
"69","wave"
