"","x"
"1","blue_note_records"
"2","columbia_records"
"3","verve_records"
"4","prestige_records"
"5","atlantic_records"
"6","X_records"
"7","impulse"
"8","warner_records"
"9","criss_cross_jazz"
"10","milestone_records"
"11","cti_records"
"12","riverside_records"
"13","ecm_records"
"14","mack_avenue_records"
"15","mca_records"
"16","rca_records"
"17","savoy_records"
"18","sunnyside_records"
"19","virgin_records"
"20","capitol_records"
"21","universal_music_group"
"22","concord_records"
"23","elektra_records"
"24","mainstream_records"
"25","muse_records"
"26","palmetto_records"
"27","roulette_records"
"28","telarc_international_corporation"
"29","atco_records"
"30","black_saint"
"31","eagle_records"
"32","emarcy_records"
"33","epic_records"
"34","fantasy_records"
"35","highnote_records"
"36","landmark_records"
"37","marsalis_music"
"38","mercury_records"
"39","novus_records"
"40","pablo_records"
"41","polydor_records"
"42","red_records"
"43","smoke_sessions_records"
"44","sony_classical_records"
"45","sony_music"
"46","soul_note"
"47","abc_records"
"48","arbors_records"
"49","artistshare"
"50","asylum_records"
"51","bertelsmann_music_group"
"52","candid_records"
"53","chesky_records"
"54","cleopatra_records"
"55","concord_jazz"
"56","contemporary_records"
"57","cooking_vinyl"
"58","decca_records"
"59","discovery_records"
"60","emi"
"61","evidence_music"
"62","fresh_sound"
"63","geffen_records"
"64","heads_up_international"
"65","interscope_records"
"66","lyte_records"
"67","m_records"
"68","maxjazz"
"69","motéma_music"
"70","motown"
"71","mps_records"
"72","musicmasters_records"
"73","nagel_heyer_records"
"74","nonesuch_records"
"75","okeh_records"
"76","posi_tone_records"
"77","proper_records"
"78","qwest_records"
"79","stunt_records"
"80","united_artists_records"
"81","victor_talking_machine_company"
"82","wj3_records"
"83","X_arts"
"84","black_"
"85","en"
"86","i.r.s"
"87","mainstream"
"88","music_"
"89","rca"
