,composer,singer,drummer,pianist,saxophonist,bassist,songwriter,trumpeter,guitarist,producer,vocalist,percussionist,horn,keyboardist,trombonist,flute
Ahmed Abdul-Malik,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Benny Golson,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Joe Henderson,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arturo Sandoval,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Joe Morris (trumpeter),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kenny Garrett,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Frank Lloyd (horn player),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Esperanza Spalding,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
Art Blakey,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sting (musician),1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Karriem Riggins,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0
Charlie Barnet,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wayne Shorter,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shannon Powell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mulgrew Miller,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Frank McComb,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
Clifford Brown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Veronica Swift,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buster Williams,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Elvin Jones,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Maynard Ferguson,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Lionel Hampton,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Count Basie,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
Lenny Kravitz,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Victor Goines,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eric Clapton,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
Dianne Reeves,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Terri Lyne Carrington,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Alexa Tarantino,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Charlie Haden,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Larry Willis,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Gary Numan,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Lee Morgan,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Kevin Eubanks,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Horace Silver,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
The Clayton Brothers,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Gary Moore,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
Buddy Guy,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jackson Browne,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Willie Nelson,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Ray Charles,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Randy Sandke,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ray Mantilla,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Rodney Whitaker,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Jack DeJohnette,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Duke Ellington,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Winard Harper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Mingus,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Kenny Kirkland,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Terence Blanchard,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paul Bley,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jann Arden,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Richard Johnson (pianist),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flora Purim,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
James Morrison (jazz musician),1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0
Keb' Mo',0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0
Mousey Alexander,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benny Green (pianist),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Natalie Cressman,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Al Foster,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Tony Williams (drummer),0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Reggie Workman,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Betty Carter,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Saskia Laroo,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Eric Revis,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Oliver Jones (pianist),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dee Dee Bridgewater,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Robert M. Rucker,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nine Inch Nails,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Germaine Bazzle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bo Stief,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Doug Watkins,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jeff Beck,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jackie McLean,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bob Cranshaw,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Woody Herman,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Donald Byrd,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Harry Sokal (musician),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
McCoy Tyner,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Candy Dulfer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Andreas Varady,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Freddie Hubbard,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Randy Gelispie,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Peter Bernstein (guitarist),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Quincy Jones,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Dwayne Dolphin,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Igor Butman,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Don Friedman,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Joshua Redman,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Roy Hargrove,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Paul Young,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
Richard Davis (bassist),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Orrin Keepnews,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dizzy Gillespie,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
Eddie Harris,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Kenny Dorham,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Oscar Peterson,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B.B. King,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Ben Wolfe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chick Corea,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
Don Pullen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bonnie Raitt,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0
Bobby Watson,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ed Cherney,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Solomon Ilori,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Darren Barrett,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Hank Mobley,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Percy Heath,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Lewis Nash,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Nelson,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Richard Ashcroft,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0
Blue Mitchell,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Joey Calderazzo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dayna Stephens,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Grover Washington Jr.,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
Willie Jones III,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
