"","1910","1920","1930","1940","1950","1960","1970","1980","1990","2000","2010"
"Ahmed_Abdul_Malik",0,0,0,0,0,0,0,0,0,0,0
"Benny_Golson",0,0,0,0,0,0,0,0,0,0,0
"Joe_Henderson",0,0,0,0,1,0,0,0,0,0,0
"Arturo_Sandoval",0,0,0,0,0,0,1,0,0,0,0
"Joe_Morris_(trumpeter)",0,0,0,1,0,0,0,0,0,0,0
"Kenny_Garrett",0,0,0,0,0,0,1,0,0,0,0
"Frank_Lloyd_(horn_player)",0,0,0,0,0,0,0,0,0,0,0
"Esperanza_Spalding",0,0,0,0,0,0,0,0,0,1,0
"Art_Blakey",0,0,0,1,0,0,0,0,0,0,0
"Sting_(musician)",0,0,0,0,0,0,1,0,0,0,0
"Karriem_Riggins",0,0,0,0,0,0,0,0,1,0,0
"Charlie_Barnet",0,0,1,0,0,0,0,0,0,0,0
"Wayne_Shorter",0,0,0,0,1,0,0,0,0,0,0
"Shannon_Powell",0,0,0,0,0,0,1,0,0,0,0
"Mulgrew_Miller",0,0,0,0,0,0,1,0,0,0,0
"Frank_McComb",0,0,0,0,0,0,0,0,1,0,0
"Clifford_Brown",0,0,0,1,0,0,0,0,0,0,0
"Veronica_Swift",0,0,0,0,0,0,0,0,0,1,0
"Buster_Williams",0,0,0,0,1,0,0,0,0,0,0
"Elvin_Jones",0,0,0,1,0,0,0,0,0,0,0
"Maynard_Ferguson",0,0,1,0,0,0,0,0,0,0,0
"Lionel_Hampton",0,1,0,0,0,0,0,0,0,0,0
"Count_Basie",0,1,0,0,0,0,0,0,0,0,0
"Lenny_Kravitz",0,0,0,0,0,0,0,1,0,0,0
"Victor_Goines",0,0,0,0,0,0,0,1,0,0,0
"Eric_Clapton",0,0,0,0,0,1,0,0,0,0,0
"Dianne_Reeves",0,0,0,0,0,0,1,0,0,0,0
"Terri_Lyne_Carrington",0,0,0,0,0,0,0,1,0,0,0
"Alexa_Tarantino",0,0,0,0,0,0,0,0,0,0,0
"Charlie_Haden",0,0,0,0,1,0,0,0,0,0,0
"Larry_Willis",0,0,0,0,0,1,0,0,0,0,0
"Gary_Numan",0,0,0,0,0,0,1,0,0,0,0
"Lee_Morgan",0,0,0,0,1,0,0,0,0,0,0
"Kevin_Eubanks",0,0,0,0,0,0,0,1,0,0,0
"Horace_Silver",0,0,0,1,0,0,0,0,0,0,0
"The_Clayton_Brothers",0,0,0,0,0,0,0,0,0,0,0
"Gary_Moore",0,0,0,0,0,1,0,0,0,0,0
"Buddy_Guy",0,0,0,0,1,0,0,0,0,0,0
"Jackson_Browne",0,0,0,0,0,1,0,0,0,0,0
"Willie_Nelson",0,0,0,0,1,0,0,0,0,0,0
"Ray_Charles",0,0,0,1,0,0,0,0,0,0,0
"Randy_Sandke",0,0,0,0,0,1,0,0,0,0,0
"Ray_Mantilla",0,0,0,0,1,0,0,0,0,0,0
"Rodney_Whitaker",0,0,0,0,0,0,0,0,0,0,0
"Jack_DeJohnette",0,0,0,0,0,1,0,0,0,0,0
"Duke_Ellington",1,0,0,0,0,0,0,0,0,0,0
"Winard_Harper",0,0,0,0,0,0,0,1,0,0,0
"Charles_Mingus",0,0,0,1,0,0,0,0,0,0,0
"Kenny_Kirkland",0,0,0,0,0,0,1,0,0,0,0
"Terence_Blanchard",0,0,0,0,0,0,0,1,0,0,0
"Paul_Bley",0,0,0,0,0,0,0,0,0,0,0
"Jann_Arden",0,0,0,0,0,0,0,0,1,0,0
"Richard_Johnson_(pianist)",0,0,0,0,0,0,0,0,1,0,0
"Flora_Purim",0,0,0,0,0,1,0,0,0,0,0
"James_Morrison_(jazz_musician)",0,0,0,0,0,0,0,1,0,0,0
"Keb'_Mo'",0,0,0,0,0,0,1,0,0,0,0
"Mousey_Alexander",0,0,0,0,0,0,0,1,0,0,0
"Benny_Green_(pianist)",0,0,0,0,0,0,0,0,0,0,0
"Natalie_Cressman",0,0,0,0,0,0,0,0,0,0,1
"Al_Foster",0,0,0,0,0,1,0,0,0,0,0
"Tony_Williams_(drummer)",0,0,0,0,0,1,0,0,0,0,0
"Reggie_Workman",0,0,0,0,0,0,0,0,0,0,0
"Betty_Carter",0,0,0,1,0,0,0,0,0,0,0
"Saskia_Laroo",0,0,0,0,0,0,0,0,0,0,0
"Eric_Revis",0,0,0,0,0,0,0,0,1,0,0
"Oliver_Jones_(pianist)",0,0,0,1,0,0,0,0,0,0,0
"Dee_Dee_Bridgewater",0,0,0,0,0,1,0,0,0,0,0
"Robert_M._Rucker",0,0,0,0,0,0,0,0,1,0,0
"Nine_Inch_Nails",0,0,0,0,0,0,0,1,0,0,0
"Germaine_Bazzle",0,0,0,0,0,0,0,0,0,0,0
"Bo_Stief",0,0,0,0,0,0,0,0,0,0,0
"Doug_Watkins",0,0,0,0,1,0,0,0,0,0,0
"Jeff_Beck",0,0,0,0,0,1,0,0,0,0,0
"Jackie_McLean",0,0,0,0,1,0,0,0,0,0,0
"Bob_Cranshaw",0,0,0,0,0,0,0,0,0,0,0
"Woody_Herman",0,0,0,0,0,0,0,0,0,0,0
"Donald_Byrd",0,0,0,0,1,0,0,0,0,0,0
"Harry_Sokal_(musician)",0,0,0,0,0,0,1,0,0,0,0
"McCoy_Tyner",0,0,0,0,0,1,0,0,0,0,0
"Candy_Dulfer",0,0,0,0,0,0,0,1,0,0,0
"Andreas_Varady",0,0,0,0,0,0,0,0,0,0,1
"Freddie_Hubbard",0,0,0,0,1,0,0,0,0,0,0
"Randy_Gelispie",0,0,0,0,0,0,0,0,0,0,0
"Peter_Bernstein_(guitarist)",0,0,0,0,0,0,0,0,1,0,0
