,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Ahmed Abdul Malik,0,0,0,0,1,1,0,0,0,0,0,0
Benny Golson,0,0,0,0,0,0,0,0,0,0,0,0
Joe Henderson,0,0,0,0,1,0,0,0,0,0,0,0
Arturo Sandoval,0,0,0,0,0,0,1,1,1,1,1,1
Joe Morris (trumpeter),0,0,0,1,1,0,0,0,0,0,0,0
Kenny Garrett,0,0,0,0,0,0,1,1,1,1,1,1
Frank Lloyd (horn player),0,0,0,0,0,0,0,0,0,0,0,0
Esperanza Spalding,0,0,0,0,0,0,0,0,0,1,1,1
Art Blakey,0,0,0,1,1,1,1,1,1,0,0,0
Sting (musician),0,0,0,0,0,0,1,1,1,1,1,1
Karriem Riggins,0,0,0,0,0,0,0,0,1,0,0,0
Charlie Barnet,0,0,1,1,1,1,0,0,0,0,0,0
Wayne Shorter,0,0,0,0,1,1,1,1,1,1,1,1
Shannon Powell,0,0,0,0,0,0,1,1,1,1,1,1
Mulgrew Miller,0,0,0,0,0,0,1,1,1,1,1,0
Frank McComb,0,0,0,0,0,0,0,0,1,1,1,1
Clifford Brown,0,0,0,1,1,0,0,0,0,0,0,0
Veronica Swift,0,0,0,0,0,0,0,0,0,1,1,1
Buster Williams,0,0,0,0,1,1,1,1,1,1,1,1
Elvin Jones,0,0,0,1,1,1,1,1,1,1,0,0
Maynard Ferguson,0,0,1,0,0,0,0,0,0,0,0,0
Lionel Hampton,0,1,1,1,1,1,1,1,1,1,0,0
Count Basie,0,1,1,1,1,1,1,1,0,0,0,0
Lenny Kravitz,0,0,0,0,0,0,0,1,1,1,1,1
Victor Goines,0,0,0,0,0,0,0,1,1,1,1,1
Eric Clapton,0,0,0,0,0,1,1,1,1,1,1,1
Dianne Reeves,0,0,0,0,0,0,1,1,1,1,1,1
Terri Lyne Carrington,0,0,0,0,0,0,0,1,1,1,1,1
Alexa Tarantino,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Haden,0,0,0,0,1,1,1,1,1,1,1,0
Larry Willis,0,0,0,0,0,1,1,1,1,1,1,0
Gary Numan,0,0,0,0,0,0,1,1,1,1,1,1
Lee Morgan,0,0,0,0,1,1,1,0,0,0,0,0
Kevin Eubanks,0,0,0,0,0,0,0,1,1,1,1,1
Horace Silver,0,0,0,1,1,1,1,1,1,1,0,0
The Clayton Brothers,0,0,0,0,0,0,1,1,1,1,1,1
Gary Moore,0,0,0,0,0,1,1,1,1,1,1,0
Buddy Guy,0,0,0,0,1,1,1,1,1,1,1,1
Jackson Browne,0,0,0,0,0,1,1,1,1,1,1,1
Willie Nelson,0,0,0,0,1,1,1,1,1,1,1,1
Ray Charles,0,0,0,1,1,1,1,1,1,1,0,0
Randy Sandke,0,0,0,0,0,1,1,1,1,1,1,1
Ray Mantilla,0,0,0,0,1,1,1,1,1,1,1,1
Rodney Whitaker,0,0,0,0,0,0,0,0,0,0,0,0
Jack DeJohnette,0,0,0,0,0,1,1,1,1,1,1,1
Duke Ellington,1,1,1,1,1,1,1,0,0,0,0,0
Winard Harper,0,0,0,0,0,0,0,1,1,1,1,1
Charles Mingus,0,0,0,1,1,1,1,0,0,0,0,0
