"","Dim.1","Dim.2","instrument"
"Ahmed_Abdul-Malik",-0.0442923300313483,0.227102767898451,"bassist"
"Benny_Golson",-0.00312098256234212,-0.161970878147286,"trumpeter"
"Joe_Henderson",-0.154956278501107,0.108695071550887,"saxophonist"
"Arturo_Sandoval",0.0437743529956146,-0.242435910190587,"trumpeter"
"Bobby_Hutcherson",-0.140305887656291,0.193945740176179,"others"
"Joe_Morris_(trumpeter)",-0.144373375574664,0.065475015895757,"trumpeter"
"Kenny_Garrett",-0.141791387032629,0.0841178365886906,"saxophonist"
"Frank_Lloyd_(horn_player)",0.0905310559866734,-0.0265885250025459,"horn"
"Esperanza_Spalding",0.271390692426864,0.0074538820558276,"singer"
"Art_Blakey",0.0262042293675135,0.0200787862752427,"drummer"
"Sting_(musician)",0.363447497170278,-0.0610446071446327,"singer"
"Karriem_Riggins",0.0186309379107083,0.239073065429329,"producer"
"Charlie_Barnet",-0.322528503618753,-0.191411784426741,"saxophonist"
"Wayne_Shorter",0.034227519924247,-0.166943793187248,"saxophonist"
"Shannon_Powell",-0.125197469768667,0.163312088191696,"drummer"
"Mulgrew_Miller",-0.00802058614638072,-0.180121775834666,"vocalist"
"Frank_McComb",0.259570645638922,0.0780733991105482,"singer"
"Clifford_Brown",-0.1589894711435,0.0624529595366706,"trumpeter"
"Veronica_Swift",-0.0664719392768974,0.218690914334114,"singer"
"Buster_Williams",0.157951732359194,0.127302191756043,"singer"
"Elvin_Jones",-0.0195204062480259,0.150009288278979,"drummer"
"Maynard_Ferguson",0.0129918931070739,-0.151110443350873,"trumpeter"
"Lionel_Hampton",-0.180786074522843,-0.0557902776509639,"pianist"
"Count_Basie",0.0105604710844861,-0.211709609976117,"trombonist"
"Lenny_Kravitz",0.324489998703027,0.116543076631396,"singer"
"Victor_Goines",0.0689031675545228,-0.0522672581255928,"saxophonist"
"Eric_Clapton",0.428660266839696,-0.00889397585590218,"singer"
"Dianne_Reeves",-0.104408317422945,0.277540005964089,"singer"
"Terri_Lyne_Carrington",0.121016972317133,-0.133128019567489,"producer"
"Alexa_Tarantino",-0.27805360846152,-0.147463955613415,"saxophonist"
"Charlie_Haden",0.0923038518898886,-0.103619077058011,"guitarist"
"Larry_Willis",0.00657599368761691,-0.18282127622438,"keyboardist"
"Gary_Numan",0.375894085819288,-0.0813256382905463,"singer"
"Lee_Morgan",-0.0104530013796947,-0.106273080773554,"trumpeter"
"Kevin_Eubanks",-0.112026540838048,-0.072264467610415,"guitarist"
"Horace_Silver",0.0703327114920975,-0.128546589313989,"pianist"
"The_Clayton_Brothers",0.164228216061462,0.0139417159451068,"bassist"
"Gary_Moore",0.396208730718692,0.0488922798359919,"singer"
"Buddy_Guy",0.213093487669657,0.118017857711757,"singer"
"Jackson_Browne",0.272927155092831,0.106959164912598,"singer"
"Willie_Nelson",0.216719686340543,0.136825740308228,"singer"
"Ray_Charles",0.24626838370034,-0.106632189123877,"singer"
"Randy_Sandke",0.188097302483706,-0.0405341493496557,"singer"
"Ray_Mantilla",-0.240578825559965,0.227255625187198,"others"
"Rodney_Whitaker",-0.204815684073132,0.234850670340275,"others"
"Jack_DeJohnette",-0.0931200945165839,-0.137315532418592,"pianist"
