"","word","n"
"1","an american jazz",119
"2","is an american",91
"3","was an american",77
"4","one of the",49
"5","hall of fame",36
"6","a member of",35
"7","of all time",32
"8","inducted into the",23
"9","member of the",23
"10","known for his",22
"11","american jazz pianist",21
"12","rock and roll",21
"13","as well as",20
"14","of the most",20
"15","as a member",18
"16","of fame in",18
"17","in the late",17
"18","american jazz drummer",16
"19","is a jazz",16
"20","new york city",16
"21","roll hall of",16
"22","and roll hall",15
"23","was inducted into",15
"24","he was the",14
"25","jazz pianist and",14
"26","he was a",13
"27","list of the",13
"28","pianist and composer",13
"29","the rock and",13
"30","and record producer",12
"31","award for best",12
"32","college of music",12
"33","he was inducted",12
"34","into the rock",12
"35","the age of",12
"36","american jazz saxophonist",11
"37","an american singer",11
"38","as one of",11
"39","nine inch nails",11
"40","on the billboard",11
"41","the late 1960s",11
"42","and composer he",10
"43","at the age",10
"44","berklee college of",10
"45","is one of",10
"46","of the 100",10
"47","the 100 greatest",10
"48","the bee gees",10
"49","american jazz trumpeter",9
"50","american singer songwriter",9
"51","came to prominence",9
"52","grammy award for",9
"53","he has also",9
"54","he has been",9
"55","in new york",9
"56","of the year",9
"57","american jazz bassist",8
"58","american jazz double",8
"59","as a solo",8
"60","best known for",8
"61","for his work",8
"62","his career he",8
"63","in the 1960s",8
"64","of the greatest",8
"65","rhythm and blues",8
"66","singer songwriter and",8
"67","such as the",8
"68","the best selling",8
"69","the new york",8
"70","the tonight show",8
"71","the united states",8
"72","was released in",8
"73","a number of",7
"74","a solo artist",7
"75","album of the",7
"76","albums as a",7
"77","artists of all",7
"78","as a bandleader",7
"79","blue note records",7
"80","greatest artists of",7
"81","has sold over",7
"82","he became a",7
"83","he is a",7
"84","his debut album",7
"85","his solo career",7
"86","in addition to",7
"87","in the 1970s",7
"88","in the world",7
"89","is an english",7
"90","lifetime achievement award",7
"91","of his career",7
"92","on the album",7
"93","the jazz messengers",7
"94","the most important",7
"95","the most influential",7
"96","the university of",7
"97","throughout his career",7
"98","to new york",7
"99","was awarded the",7
"100","a solo career",6
"101","american jazz and",6
"102","and has been",6
"103","art blakey's jazz",6
"104","artistic director of",6
"105","as a leader",6
"106","as a sideman",6
"107","blakey's jazz messengers",6
"108","career as a",6
"109","composer and educator",6
"110","grammy awards and",6
"111","guitarists of all",6
"112","has been a",6
"113","he moved to",6
"114","his career in",6
"115","in the 1980s",6
"116","in the early",6
"117","in the united",6
"118","institute of jazz",6
"119","jazz double bassist",6
"120","jazz tenor saxophonist",6
"121","known professionally as",6
"122","many of his",6
"123","moved to new",6
"124","of music in",6
"125","record producer he",6
"126","school of music",6
"127","the 20th century",6
"128","the grammy award",6
"129","the rolling stones",6
"130","the top 10",6
"131","was a member",6
"132","was one of",6
"133","with whom he",6
"134","100 greatest artists",5
"135","a series of",5
"136","a student at",5
"137","albums such as",5
"138","american jazz musician",5
"139","american jazz tenor",5
"140","and dizzy gillespie",5
"141","artists such as",5
"142","as part of",5
"143","as the most",5
"144","associated with the",5
"145","at lincoln center",5
"146","avant garde jazz",5
"147","been nominated for",5
"148","began his career",5
"149","billboard hot 100",5
"150","composer and arranger",5
"151","composer and bandleader",5
"152","director of the",5
"153","during the 1970s",5
"154","harry connick jr",5
"155","he has played",5
"156","he has recorded",5
"157","he has worked",5
"158","he is considered",5
"159","he was also",5
"160","he was awarded",5
"161","his work with",5
"162","in jazz and",5
"163","in los angeles",5
"164","in the mid",5
"165","is known for",5
"166","jazz at lincoln",5
"167","jazz festival en",5
"168","jazz pianist composer",5
"169","jazz saxophonist and",5
"170","members of the",5
"171","million albums worldwide",5
"172","million records worldwide",5
"173","new york times",5
"174","of music from",5
"175","of the 1960s",5
"176","of the 20th",5
"177","of the jazz",5
"178","of the new",5
"179","recorded and performed",5
"180","referred to as",5
"181","saxophonist and composer",5
"182","singer and songwriter",5
"183","the billboard 200",5
"184","the billboard hot",5
"185","the development of",5
"186","the early 1970s",5
"187","the end of",5
"188","the same year",5
"189","to prominence in",5
"190","top 10 on",5
"191","trumpeter and composer",5
"192","was the first",5
"193","went on to",5
"194","1962 is an",4
"195","1970s and 1980s",4
"196","2013 was an",4
"197","2020 was an",4
"198","a canadian jazz",4
"199","a variety of",4
"200","academy of songwriters",4
"201","albums in the",4
"202","all time en",4
"203","also worked with",4
"204","american jazz guitarist",4
"205","american jazz trombonist",4
"206","an academy award",4
"207","an american blues",4
"208","an american trumpeter",4
"209","and as a",4
"210","and avant garde",4
"211","and composer en",4
"212","and for his",4
"213","and played with",4
"214","and raised in",4
"215","and recorded with",4
"216","at the university",4
"217","band in the",4
"218","bandleader and composer",4
"219","become jazz standards",4
"220","been inducted into",4
"221","best known compositions",4
"222","best selling music",4
"223","blood on the",4
"224","british academy of",4
"225","career he has",4
"226","career in the",4
"227","center jazz orchestra",4
"228","composer he was",4
"229","composers and authors",4
"230","considered one of",4
"231","contributions to the",4
"232","described him as",4
"233","died at the",4
"234","director of jazz",4
"235","drummer hall of",4
"236","during this period",4
"237","end of the",4
"238","figure in the",4
"239","for blue note",4
"240","from the 1950s",4
"241","from the british",4
"242","grammy award winning",4
"243","grammy lifetime achievement",4
"244","greatest guitarists of",4
"245","grew up in",4
"246","hard bop and",4
"247","has been nominated",4
"248","has collaborated with",4
"249","has played with",4
"250","has released five",4
"251","have become jazz",4
"252","have sold over",4
"253","he formed the",4
"254","he has performed",4
"255","he has received",4
"256","he has sold",4
"257","he is also",4
"258","he is best",4
"259","he is the",4
"260","he played with",4
"261","he released his",4
"262","he worked with",4
"263","herbie hancock and",4
"264","him one of",4
"265","his best known",4
"266","his own groups",4
"267","his own name",4
"268","history of jazz",4
"269","in the history",4
"270","in the us",4
"271","into the modern",4
"272","is a canadian",4
"273","is a dutch",4
"274","is best known",4
"275","ivor novello award",4
"276","jazz in the",4
"277","jazz saxophonist en",4
"278","jazz trumpeter and",4
"279","john mayer trio",4
"280","lincoln center jazz",4
"281","los angeles california",4
"282","modern drummer hall",4
"283","multi instrumentalist and",4
"284","music has been",4
"285","musicians of the",4
"286","musicians such as",4
"287","noted for his",4
"288","number one on",4
"289","of jazz and",4
"290","of jazz in",4
"291","of music and",4
"292","of music at",4
"293","of new orleans",4
"294","of songwriters composers",4
"295","of the album",4
"296","of the best",4
"297","one of his",4
"298","over the course",4
"299","part of the",4
"300","peaking at number",4
"301","performing as a",4
"302","pianist composer and",4
"303","polar music prize",4
"304","r b and",4
"305","reached the top",4
"306","released his debut",4
"307","saxophonist composer and",4
"308","selling music artists",4
"309","some of the",4
"310","songwriters composers and",4
"311","songwriters hall of",4
"312","tenor saxophone and",4
"313","the 1970s and",4
"314","the 1970s he",4
"315","the blues and",4
"316","the british academy",4
"317","the course of",4
"318","the early 1960s",4
"319","the first african",4
"320","the following year",4
"321","the history of",4
"322","the john mayer",4
"323","the late 1950s",4
"324","the modern drummer",4
"325","the polar music",4
"326","the release of",4
"327","the thelonious monk",4
"328","to play with",4
"329","tonight show band",4
"330","top 40 singles",4
"331","two grammy awards",4
"332","under his own",4
"333","was born in",4
"334","was described by",4
"335","was followed by",4
"336","was known for",4
"337","which reached the",4
"338","with miles davis",4
"339","won the grammy",4
"340","worked as a",4
"341","10 on the",3
"342","100 greatest guitarists",3
"343","1933 is an",3
"344","1943 is an",3
"345","1945 is an",3
"346","1957 is an",3
"347","1960 is an",3
"348","1964 is an",3
"349","1965 is an",3
"350","1967 is an",3
"351","1979 was an",3
"352","1986 is an",3
"353","2000 was an",3
"354","2008 was an",3
"355","2015 was an",3
"356","2016 was an",3
"357","a career spanning",3
"358","a composer and",3
"359","a disc jockey",3
"360","a dutch jazz",3
"361","a grammy award",3
"362","a jazz trumpeter",3
"363","a native of",3
"364","a prolific session",3
"365","a wide range",3
"366","academy award for",3
"367","african american to",3
"368","album chart and",3
"369","all of which",3
"370","all time and",3
"371","also had a",3
"372","also noted for",3
"373","american hard bop",3
"374","american jazz singer",3
"375","among others en",3
"376","among the best",3
"377","an american hard",3
"378","an american musician",3
"379","an american saxophonist",3
"380","an english rock",3
"381","an honorary doctorate",3
"382","and blues and",3
"383","and collaborated with",3
"384","and commercial success",3
"385","and educator en",3
"386","and educator he",3
"387","and has performed",3
"388","and herbie hancock",3
"389","and many of",3
"390","and moved to",3
"391","and oscar peterson",3
"392","and post bop",3
"393","and with the",3
"394","as a child",3
"395","as a disc",3
"396","as a jazz",3
"397","as artistic director",3
"398","at berklee college",3
"399","at the berklee",3
"400","at the end",3
"401","at the white",3
"402","award at the",3
"403","award for outstanding",3
"404","b hip hop",3
"405","became a member",3
"406","became one of",3
"407","been referred to",3
"408","best jazz vocal",3
"409","best new artist",3
"410","best original song",3
"411","best selling musicians",3
"412","better known by",3
"413","board of the",3
"414","bop and post",3
"415","born and raised",3
"416","broke up in",3
"417","by his stage",3
"418","clark terry and",3
"419","compositions have become",3
"420","continued to play",3
"421","copies in the",3
"422","course of his",3
"423","dee dee bridgewater",3
"424","described as a",3
"425","during his lifetime",3
"426","during the 1980s",3
"427","every time you",3
"428","fame in the",3
"429","featured on the",3
"430","festival he was",3
"431","figures in the",3
"432","film and television",3
"433","first african american",3
"434","first recipient of",3
"435","five time grammy",3
"436","for album of",3
"437","for best jazz",3
"438","for best male",3
"439","for best original",3
"440","for outstanding contribution",3
"441","for the next",3
"442","from the late",3
"443","guitarist and composer",3
"444","hard bop jazz",3
"445","has also worked",3
"446","has been inducted",3
"447","has performed with",3
"448","has served as",3
"449","has won three",3
"450","has worked with",3
"451","he came to",3
"452","he had a",3
"453","he has released",3
"454","he has won",3
"455","he performed with",3
"456","he played in",3
"457","he played on",3
"458","he received a",3
"459","he received the",3
"460","he returned to",3
"461","he was an",3
"462","he was named",3
"463","he was with",3
"464","he went on",3
"465","him as the",3
"466","hip hop group",3
"467","his death in",3
"468","his first album",3
"469","his stage name",3
"470","hits on the",3
"471","important and influential",3
"472","in 1975 he",3
"473","in 2005 and",3
"474","in 2009 he",3
"475","in 2017 he",3
"476","in his career",3
"477","in jazz performance",3
"478","in the development",3
"479","in the film",3
"480","in the hard",3
"481","in the jazz",3
"482","in the u.s",3
"483","initially joined in",3
"484","inspired by the",3
"485","international jazz festival",3
"486","is also the",3
"487","is considered a",3
"488","is considered one",3
"489","is considered to",3
"490","its list of",3
"491","jazz and rhythm",3
"492","jazz drummer and",3
"493","jazz festival he",3
"494","jazz fusion and",3
"495","jazz hall of",3
"496","jazz musician who",3
"497","jazz pianist he",3
"498","jazz trumpeter he",3
"499","jazz vocal album",3
"500","john coltrane and",3
"501","known as the",3
"502","known by his",3
"503","late 1960s and",3
"504","leader and sideman",3
"505","leader of the",3
"506","led his own",3
"507","lincoln center orchestra",3
"508","making him the",3
"509","many of the",3
"510","member of art",3
"511","mingus big band",3
"512","monk institute of",3
"513","most important and",3
"514","most recorded jazz",3
"515","movement of the",3
"516","music he is",3
"517","music he was",3
"518","musician singer songwriter",3
"519","musicians of all",3
"520","novello award for",3
"521","number one albums",3
"522","of art blakey's",3
"523","of fame and",3
"524","of his own",3
"525","of music he",3
"526","of rock and",3
"527","of the band",3
"528","of the blues",3
"529","of the clayton",3
"530","of the earliest",3
"531","of the post",3
"532","of the rock",3
"533","of the state",3
"534","of the yardbirds",3
"535","of which reached",3
"536","on his own",3
"537","on more than",3
"538","on the fields",3
"539","on the road",3
"540","on the us",3
"541","on their list",3
"542","on to release",3
"543","one on the",3
"544","other artists including",3
"545","outstanding contribution to",3
"546","performed at the",3
"547","playing drums at",3
"548","prominence in the",3
"549","r b hip",3
"550","received a grammy",3
"551","received an honorary",3
"552","regarded as one",3
"553","rolling stone's list",3
"554","she is a",3
"555","singer songwriter multi",3
"556","sold more than",3
"557","solo artist and",3
"558","solo career in",3
"559","some of his",3
"560","song for the",3
"561","songs such as",3
"562","songwriter multi instrumentalist",3
"563","started his career",3
"564","stone's list of",3
"565","the 1960s he",3
"566","the 1980s and",3
"567","the advisory board",3
"568","the album was",3
"569","the berklee college",3
"570","the blue note",3
"571","the clayton brothers",3
"572","the eagles and",3
"573","the first of",3
"574","the first recipient",3
"575","the greatest jazz",3
"576","the hard bop",3
"577","the john coltrane",3
"578","the kennedy center",3
"579","the lincoln center",3
"580","the most successful",3
"581","the post bop",3
"582","the state of",3
"583","the uk albums",3
"584","the uk singles",3
"585","the united nations",3
"586","the white house",3
"587","the world en",3
"588","their list of",3
"589","thelonious monk institute",3
"590","they were inducted",3
"591","third studio album",3
"592","three grammy awards",3
"593","time grammy award",3
"594","time you go",3
"595","to as the",3
"596","to be a",3
"597","to study with",3
"598","to top the",3
"599","toured and recorded",3
"600","uk albums chart",3
"601","uk number one",3
"602","uk singles chart",3
"603","university of new",3
"604","until his death",3
"605","was also a",3
"606","was born on",3
"607","was the only",3
"608","well as a",3
"609","well as his",3
"610","well as the",3
"611","were inducted into",3
"612","wes montgomery and",3
"613","what's the 411",3
"614","white blood cells",3
"615","who initially joined",3
"616","wide range of",3
"617","with his own",3
"618","with max roach",3
"619","with other artists",3
"620","with the jazz",3
"621","won three grammy",3
"622","york city in",3
"623","you go away",3
"624","1 hits on",2
"625","10 on billboard",2
"626","100 greatest singers",2
"627","100 million records",2
"628","15 1932 may",2
"629","15 1957 is",2
"630","15 november 1974",2
"631","18 2014 was",2
"632","18 grammy awards",2
"633","1932 is an",2
"634","1936 is an",2
"635","1940 is an",2
"636","1942 is an",2
"637","1944 is an",2
"638","1949 is a",2
"639","1950s as a",2
"640","1951 known as",2
"641","1954 is an",2
"642","1956 is an",2
"643","1957 is a",2
"644","1960 is a",2
"645","1960s and early",2
"646","1963 is an",2
"647","1965 is a",2
"648","1966 is an",2
"649","1970 is a",2
"650","1970 is an",2
"651","1970s he was",2
