word,n
american,204
composer,93
grammy,64
singer,60
drummer,59
pianist,59
saxophonist,59
solo,40
bassist,37
songwriter,36
trumpeter,35
1960s,34
orchestra,34
bandleader,32
guitarist,32
1970s,30
university,29
producer,28
educator,26
1980s,25
guitar,24
piano,24
blue,23
saxophone,20
arranger,19
bebop,19
country,19
director,19
academy,18
quartet,18
trumpet,18
bass,17
british,17
influential,17
modern,17
trio,17
1950s,16
african,15
quintet,13
sideman,13
songwriter,12
1990s,11
brother,11
drums,11
popular,11
professor,11
prominence,11
vocal,11
international,10
magazine,10
nominations,10
guitarists,9
vocalist,9
classical,8
percussionist,8
traditional,8
actor,7
avant,7
horn,7
keyboardist,7
latin,7
texas,7
trombonist,7
west,7
emmy,6
soprano,6
spanish,6
1940s,5
russian,5
1930s,4
2000s,4
actress,4
australian,4
christian,4
flute,4
