"","year"
"Ahmed_Abdul_Malik",
"Benny_Golson",
"Joe_Henderson",1950
"Arturo_Sandoval",1970
"Joe_Morris_(trumpeter)",1940
"Kenny_Garrett",1970
"Frank_Lloyd_(horn_player)",
"Esperanza_Spalding",2000
"Art_Blakey",1940
"Sting_(musician)",1970
"Karriem_Riggins",1990
"Charlie_Barnet",1930
"Wayne_Shorter",1950
"Shannon_Powell",1970
"Mulgrew_Miller",1970
"Frank_McComb",1990
"Clifford_Brown",1940
"Veronica_Swift",2000
"Buster_Williams",1950
"Elvin_Jones",1940
"Maynard_Ferguson",1930
"Lionel_Hampton",1920
"Count_Basie",1920
"Lenny_Kravitz",1980
"Victor_Goines",1980
"Eric_Clapton",1960
"Dianne_Reeves",1970
"Terri_Lyne_Carrington",1980
"Alexa_Tarantino",
"Charlie_Haden",1950
"Larry_Willis",1960
"Gary_Numan",1970
"Lee_Morgan",1950
"Kevin_Eubanks",1980
"Horace_Silver",1940
"The_Clayton_Brothers",
"Gary_Moore",1960
"Buddy_Guy",1950
"Jackson_Browne",1960
"Willie_Nelson",1950
"Ray_Charles",1940
"Randy_Sandke",1960
"Ray_Mantilla",1950
"Rodney_Whitaker",
"Jack_DeJohnette",1960
"Duke_Ellington",1910
"Winard_Harper",1980
"Charles_Mingus",1940
"Kenny_Kirkland",1970
"Terence_Blanchard",1980
"Paul_Bley",
"Jann_Arden",1990
"Richard_Johnson_(pianist)",1990
"Flora_Purim",1960
"James_Morrison_(jazz_musician)",1980
"Keb'_Mo'",1970
"Mousey_Alexander",1980
"Benny_Green_(pianist)",
"Natalie_Cressman",2010
"Al_Foster",1960
"Tony_Williams_(drummer)",1960
"Reggie_Workman",
"Betty_Carter",1940
"Saskia_Laroo",
"Eric_Revis",1990
"Oliver_Jones_(pianist)",1940
"Dee_Dee_Bridgewater",1960
"Robert_M._Rucker",1990
"Nine_Inch_Nails",1980
"Germaine_Bazzle",
"Bo_Stief",
"Doug_Watkins",1950
"Jeff_Beck",1960
"Jackie_McLean",1950
"Bob_Cranshaw",
"Woody_Herman",
