"","middle"
"1",1950
"2",NA
"3",1950
"4",1990
"5",1950
"6",2000
"7",NA
"8",2010
"9",1960
"10",1990
"11",1990
"12",1940
"13",1980
"14",1990
"15",1990
"16",2000
"17",1950
"18",2010
"19",1990
"20",1970
"21",1930
"22",1960
"23",1950
"24",2000
"25",2000
"26",1990
"27",1990
"28",2000
"29",NA
"30",1980
"31",1990
"32",1990
"33",1960
"34",2000
"35",1970
"36",1990
"37",1980
"38",1980
"39",1990
"40",1980
"41",1970
"42",1990
"43",1980
"44",NA
"45",1990
"46",1940
"47",2000
"48",1960
"49",1980
"50",2000
"51",NA
"52",2000
"53",2000
"54",1990
"55",2000
"56",1990
"57",1960
"58",NA
"59",2010
"60",1990
"61",1970
"62",NA
"63",1970
"64",NA
"65",2000
"66",1980
"67",1990
"68",2000
"69",2000
"70",NA
"71",NA
"72",1950
"73",1990
"74",1970
"75",NA
"76",NA
"77",1980
"78",1990
"79",1990
"80",2000
"81",2010
"82",1980
"83",NA
"84",2000
"85",1980
"86",NA
"87",1990
"88",NA
"89",NA
"90",2000
"91",2000
"92",1980
"93",1980
"94",1960
"95",NA
"96",NA
"97",1970
"98",1970
"99",2000
"100",1990
"101",1970
"102",1990
"103",1990
"104",NA
"105",1990
"106",2000
"107",1960
"108",NA
"109",2000
"110",NA
"111",2000
"112",1960
"113",2000
"114",2010
"115",1980
"116",2000
"117",1990
"118",NA
"119",2010
"120",2000
"121",2010
"122",2000
"123",2000
"124",2010
"125",2000
"126",NA
"127",1980
"128",1960
"129",1990
"130",1970
"131",NA
"132",1970
"133",2000
"134",NA
"135",2000
"136",1980
"137",2000
"138",1960
"139",1990
"140",1990
"141",2000
"142",1980
"143",2000
"144",1990
"145",1990
"146",1990
"147",1970
"148",2000
"149",1960
"150",1990
"151",2000
"152",NA
"153",1990
"154",2010
"155",1960
"156",NA
"157",1950
"158",2000
"159",2010
"160",1960
"161",1990
"162",1950
"163",2000
"164",1990
"165",NA
"166",1980
"167",NA
"168",NA
"169",1970
"170",1980
"171",NA
"172",2000
"173",1970
"174",NA
"175",1950
"176",2000
"177",1950
"178",2000
"179",1990
"180",1970
"181",1980
"182",1990
"183",1980
"184",NA
"185",NA
"186",2000
"187",1950
"188",1950
"189",1990
"190",2000
"191",2010
"192",2010
"193",2000
"194",NA
"195",1980
"196",NA
"197",1990
"198",2000
"199",2000
"200",1990
"201",1970
"202",NA
"203",1980
"204",1980
"205",2000
"206",NA
"207",2010
"208",1950
"209",1990
"210",1980
"211",NA
"212",2000
"213",1980
"214",1990
"215",2010
"216",2000
"217",NA
"218",2000
"219",NA
"220",NA
"221",1990
"222",NA
"223",1980
"224",NA
"225",2000
"226",1960
"227",2000
"228",1950
"229",2010
